source	target	weight
Eröffnung	Innovating Africa	0.10086656578862979
Eröffnung	brand eins - Anja Ebersbach	0.0417213162859331
Eröffnung	Aufruf zum metakulturellen Diskurs	0.06297515325894561
Eröffnung	brand eins - Christoph Meinel	0.038959601515746185
Eröffnung	Building a web we can trust	0.0001943872256276629
Eröffnung	Making-of R ha	0.0003063228164224809
Eröffnung	Comic Misunderstanding A conversation with Graham Linehan IT Crowd 	0.001392060869898559
Eröffnung	Überraschungsvortrag II	0.0038264336812066637
Eröffnung	Die maschinenlesbare Regierung - Eine kritische Analyse zur Gegenwart von Open Data und Open Goverment in Deutschland	0.06146884828656397
Eröffnung	Das Buch muss überwunden werden - Digitales Utopia oder eher El Dorado?	0.00010581526877655416
Eröffnung	Wikipedia: wo User geblockt Artikel gelöscht und Reputationen zerstört werden	0.0015441777447347748
Eröffnung	Community Organizing - lessons from Obama for America 2012	0.02218209928646724
Eröffnung	Silly jokes or game changers? A live international comparison of political memes.	0.0002547524760674585
Eröffnung	Graben Retten Teilen	0.0009274861108023016
Eröffnung	Kinderkram: So nutzen Kids das Web 	0.0008846467120573748
Eröffnung	Sketchnotes	0.0005450383564015798
Eröffnung	Semiotik für Nerds Oder von der Unwahrscheinlichkeit gelingender Kommunikation und offenen Kunstwerken	0.00044851318576705326
Eröffnung	Die Geschichte des Computers	0.0027001209869283163
Eröffnung	Mass Customization: Da geht noch mehr	0.009293353883192938
Eröffnung	YouTube macht die Stars von heute	0.004905345207614222
Eröffnung	Radio Universal	0.004024451026459256
Eröffnung	Netzpolitischer Nachmittag: IN SIDE OUT digiges	0.00038814619544397667
Eröffnung	dorkbot.bln re:publica 13 Special 	0.0001470078568902263
Eröffnung	Das Ende der Arbeit Wenn Maschinen uns ersetzen	0.00012168937153315348
Eröffnung	Der Montag liebt dich	0.002773592548608562
Eröffnung	Zeit - Geld - Familie	0.0012977080138762657
Eröffnung	21st Century Skills - Keynote Panel	0.0006772769759054555
Eröffnung	re:Fefe: Erkenntnisse der empirischen Trollforschung	0.001032594875910325
Innovating Africa	brand eins - Anja Ebersbach	0.15289674487875898
Innovating Africa	Aufruf zum metakulturellen Diskurs	0.11061597328714967
Innovating Africa	brand eins - Christoph Meinel	0.0313135065687974
Innovating Africa	Building a web we can trust	0.0003984269436395833
Innovating Africa	brand eins - Gunter Dueck	0.000936887058018736
Innovating Africa	Iron Sky	0.0001343409143027007
Innovating Africa	Silly jokes or game changers? A live international comparison of political memes.	0.0003563880392791622
Innovating Africa	The Revolution of Jokes	0.00011509202287758707
Innovating Africa	Muslimische BloggerInnen schaffen Gegenöffentlichkeit	0.00011331249246889404
Innovating Africa	Blogging Cuba	0.00011869267801103072
Innovating Africa	Die Geschichte des Computers	0.00012800803530962958
Innovating Africa	Internet Geographies: Data Shadows and Digital Divisions of Labour	0.0002896734290795559
Innovating Africa	Radio Universal	0.00032371999079213023
Innovating Africa	THE NEW AFRICA	0.0017402979533405415
Innovating Africa	21st Century Skills - Keynote Panel	0.0012788751593926719
Innovating Africa	Take a ride on the Cyberpunk Express train	0.0010377503869926756
brand eins - Anja Ebersbach	Aufruf zum metakulturellen Diskurs	1.5163914552520883
brand eins - Anja Ebersbach	brand eins - Christoph Meinel	0.3856071468122191
brand eins - Anja Ebersbach	brand eins - Gunter Dueck	0.018009893334255633
brand eins - Anja Ebersbach	Die maschinenlesbare Regierung - Eine kritische Analyse zur Gegenwart von Open Data und Open Goverment in Deutschland	0.004786148531073148
brand eins - Anja Ebersbach	Algorithmen-Ethik	0.0012146463907725623
brand eins - Anja Ebersbach	Finanzblogs: Intellektuelle Elite oder verständliches Massenmedium?	0.00016092223656027335
brand eins - Anja Ebersbach	Die Geschichte des Computers	0.00179006256138503
brand eins - Anja Ebersbach	Mass Customization: Da geht noch mehr	0.001933881621895538
brand eins - Anja Ebersbach	YouTube macht die Stars von heute	0.00010114917328763682
brand eins - Anja Ebersbach	Zivilkapitalismus. Wir sind die Wirtschaft.	0.000772475758243209
brand eins - Anja Ebersbach	Immer dieses Internet!	0.0022603914427253777
brand eins - Anja Ebersbach	21st Century Skills - Keynote Panel	0.001043121678152761
brand eins - Anja Ebersbach	Myths of the Open Internet: Bust Them and Get Busy	0.00034113323625387413
Aufruf zum metakulturellen Diskurs	brand eins - Christoph Meinel	0.7098649678563008
Aufruf zum metakulturellen Diskurs	Building a web we can trust	0.00023082017422988043
Aufruf zum metakulturellen Diskurs	brand eins - Gunter Dueck	0.0359270572395825
Aufruf zum metakulturellen Diskurs	Comic Misunderstanding A conversation with Graham Linehan IT Crowd 	0.0031682877214849648
Aufruf zum metakulturellen Diskurs	Überraschungsvortrag II	0.029017631102407557
Aufruf zum metakulturellen Diskurs	Die maschinenlesbare Regierung - Eine kritische Analyse zur Gegenwart von Open Data und Open Goverment in Deutschland	0.005616174465369385
Aufruf zum metakulturellen Diskurs	Algorithmen-Ethik	0.00026898743601883805
Aufruf zum metakulturellen Diskurs	Finanzblogs: Intellektuelle Elite oder verständliches Massenmedium?	0.0010026276963650662
Aufruf zum metakulturellen Diskurs	get re:ady to start: start-up pitches 2 	0.00012993481907397776
Aufruf zum metakulturellen Diskurs	Die Geschichte des Computers	0.0020805332395348883
Aufruf zum metakulturellen Diskurs	Mass Customization: Da geht noch mehr	0.014230705494999281
Aufruf zum metakulturellen Diskurs	YouTube zwischen Wildwest und Goldgrube.	0.007966867521168427
Aufruf zum metakulturellen Diskurs	YouTube macht die Stars von heute	0.0036538942884006484
Aufruf zum metakulturellen Diskurs	Zivilkapitalismus. Wir sind die Wirtschaft.	0.0038990747410686277
Aufruf zum metakulturellen Diskurs	Immer dieses Internet!	0.01240016407770545
Aufruf zum metakulturellen Diskurs	Data Kitchen - How to get juicy data from spreadsheets	0.00034235296847155255
Aufruf zum metakulturellen Diskurs	Radio Universal	0.0013542230358825128
Aufruf zum metakulturellen Diskurs	Das Ende der Arbeit Wenn Maschinen uns ersetzen	0.0006254067487745081
Aufruf zum metakulturellen Diskurs	Der Montag liebt dich	0.005684902098314014
Aufruf zum metakulturellen Diskurs	decoding a book Was ist Buch?	0.0016806562130028794
Aufruf zum metakulturellen Diskurs	Digitaldarwinismus Warum gibt es keine digitalen Bananen?	0.00013948761244434523
Aufruf zum metakulturellen Diskurs	21st Century Skills - Keynote Panel	0.004554697549203109
Aufruf zum metakulturellen Diskurs	Jagen Sammeln Pflegen - alte und neue Aufgaben für die Öffentlich-Rechtlichen in Zeiten des Internet	0.00025080617646175597
Aufruf zum metakulturellen Diskurs	10 Vorschläge um die Welt zu verbessern	0.00018499762837322962
